id,1,2,3,4,5,6,7,8,9,10,11,12,13,14
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,200.0,240.0,320.0,290.0,380.0,280.0,300.0,210.0,230.0,290.0,310.0,340.0,400.0,320.0
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,480.0,450.0,490.00000000000006,470.0,640.0,380.0,380.0,420.0,260.0,300.0,340.0,410.0,430.0,280.0
CID0_SID0_PID118_MGID6_CAT14-CAT228-CAT3180,160.0,160.0,130.0,130.0,90.0,50.0,180.0,110.0,100.0,150.0,200.0,50.0,70.0,60.0
CID0_SID0_PID122_MGID6_CAT120-CAT268-CAT3127,60.0,130.0,80.0,150.0,160.0,60.0,140.0,74.0,140.0,130.0,160.0,100.0,180.0,90.0
CID0_SID0_PID127_MGID6_CAT120-CAT258-CAT3172,80.0,30.0,30.0,70.0,80.0,70.0,70.0,60.0,50.0,70.0,0.0,40.0,70.0,50.0
CID0_SID0_PID129_MGID6_CAT110-CAT233-CAT3181,200.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,130.0,40.0,40.0,80.0,30.0,110.0
CID0_SID0_PID136_MGID6_CAT14-CAT228-CAT3161,60.0,10.0,50.0,80.0,60.0,40.0,50.0,40.0,40.0,0.0,80.0,60.0,80.0,30.0
CID0_SID0_PID166_MGID6_CAT120-CAT250-CAT359,190.0,140.0,130.0,300.0,390.0,200.0,130.0,290.0,260.0,310.0,310.0,360.0,170.0,270.0
CID0_SID0_PID18_MGID6_CAT14-CAT228-CAT3142,10.0,10.0,40.0,70.0,50.0,20.0,10.0,30.0,30.0,80.0,50.0,80.0,0.0,30.0
CID0_SID0_PID190_MGID6_CAT14-CAT228-CAT3131,50.0,50.0,140.0,130.0,140.0,100.0,100.0,60.0,90.0,90.0,50.0,100.0,0.0,0.0
CID0_SID0_PID193_MGID6_CAT18-CAT229-CAT3114,80.0,30.0,110.0,90.0,80.0,80.0,30.0,50.0,50.0,40.0,90.0,60.0,60.0,40.0
CID0_SID0_PID194_MGID5_CAT118-CAT280-CAT3109,20.0,40.0,30.0,60.0,80.0,50.0,60.0,70.0,30.0,70.0,50.0,160.0,60.0,30.0
CID0_SID0_PID19_MGID6_CAT14-CAT228-CAT381,80.0,60.0,90.0,70.0,170.0,50.0,30.0,100.0,90.0,100.0,150.0,60.0,160.0,120.0
CID0_SID0_PID201_MGID6_CAT18-CAT229-CAT3113,0.0,70.0,110.0,70.0,40.0,86.99999999999999,70.0,20.0,30.0,40.0,90.0,70.0,70.0,80.0
CID0_SID0_PID207_MGID6_CAT14-CAT228-CAT3179,90.0,90.0,60.0,150.0,180.0,90.0,150.0,120.0,0.0,120.0,110.0,120.0,110.0,160.0
CID0_SID0_PID214_MGID6_CAT18-CAT28-CAT39,20.0,15.0,60.0,20.0,60.0,30.0,20.0,40.0,30.0,10.0,70.0,30.0,70.0,60.0
CID0_SID0_PID215_MGID6_CAT14-CAT228-CAT3149,310.0,240.0,300.0,350.0,570.0,320.0,480.0,360.0,330.0,420.0,430.0,590.0,550.0,430.0
CID0_SID0_PID21_MGID6_CAT14-CAT228-CAT381,70.0,170.0,90.0,70.0,110.0,80.0,80.0,90.0,70.0,30.0,130.0,40.0,90.0,70.0
CID0_SID0_PID223_MGID6_CAT120-CAT258-CAT3172,70.0,170.0,150.0,240.0,210.0,70.0,150.0,130.0,160.0,150.0,150.0,220.00000000000003,160.0,160.0
CID0_SID0_PID23_MGID6_CAT14-CAT253-CAT358,80.0,30.0,60.0,50.0,50.0,30.0,47.0,20.0,40.0,10.0,40.0,40.0,30.0,40.0
CID0_SID0_PID253_MGID6_CAT110-CAT233-CAT383,90.0,30.0,60.0,80.0,60.0,80.0,30.0,60.0,50.0,20.0,50.0,40.0,100.0,30.0
CID0_SID0_PID259_MGID6_CAT121-CAT264-CAT3123,10.0,30.0,60.0,20.0,90.0,50.0,50.0,60.0,40.0,40.0,40.0,80.0,90.0,40.0
CID0_SID0_PID26_MGID6_CAT14-CAT253-CAT3156,90.0,50.0,90.0,96.0,110.0,70.0,70.0,90.0,40.0,90.0,70.0,80.0,90.0,90.0
CID0_SID0_PID291_MGID5_CAT116-CAT227-CAT398,10.0,90.0,70.0,70.0,80.0,90.0,80.0,70.0,20.0,67.0,40.0,100.0,30.0,57.00000000000001
CID0_SID0_PID296_MGID5_CAT116-CAT225-CAT3103,97.0,150.0,160.0,180.0,200.0,150.0,170.0,150.0,120.0,80.0,110.0,138.0,210.0,170.0
CID0_SID0_PID300_MGID6_CAT120-CAT250-CAT324,0.0,390.0,120.0,280.0,520.0,454.0,310.0,360.0,360.0,258.0,480.0,530.0,550.0,480.0
CID0_SID0_PID310_MGID5_CAT116-CAT225-CAT3105,120.0,150.0,170.0,150.0,170.0,140.0,140.0,140.0,110.0,70.0,160.0,150.0,220.00000000000003,180.0
CID0_SID0_PID345_MGID5_CAT116-CAT226-CAT396,60.0,50.0,40.0,20.0,40.0,6.999999999999999,0.0,40.0,6.999999999999999,50.0,50.0,40.0,40.0,20.0
CID0_SID0_PID370_MGID6_CAT124-CAT266-CAT3199,20.0,90.0,50.0,40.0,90.0,60.0,10.0,50.0,50.0,10.0,20.0,90.0,30.0,70.0
