sku,regime,best_model,mae,bias,score,model_rank,note
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,Low-Low,Holt,74.1446480896852,14.968214139932837,89.11286222961805,1.0,
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,Low-Low,Holt,106.64931429751567,-8.760258754927106,115.4095730524428,1.0,
CID0_SID0_PID118_MGID6_CAT14-CAT228-CAT3180,Low-Low,SeasonalExponentialSmoothingOptimized,37.389925839195385,-2.731973377354848,40.12189921655023,1.0,
CID0_SID0_PID122_MGID6_CAT120-CAT268-CAT3127,Low-Low,HoltWinters,81.26502324370593,-56.31527439405344,137.58029763775937,1.0,
CID0_SID0_PID127_MGID6_CAT120-CAT258-CAT3172,Low-Low,chronos2,21.079993111746653,-15.380333491734095,36.46032660348075,1.0,
CID0_SID0_PID129_MGID6_CAT110-CAT233-CAT3181,High-High,CrostonOptimized,48.57142857142857,0.5674566205284017,49.13888519195697,1.0,
CID0_SID0_PID136_MGID6_CAT14-CAT228-CAT3161,Low-Low,WindowAverage,26.428571428571427,-8.214285714285714,34.64285714285714,1.0,
CID0_SID0_PID166_MGID6_CAT120-CAT250-CAT359,Low-Low,HistoricAverage,59.23684210526316,-16.0639097744361,75.30075187969926,1.0,
CID0_SID0_PID18_MGID6_CAT14-CAT228-CAT3142,Low-Low,lightgbm,35.97933235679165,-23.89936122292039,59.87869357971204,1.0,
CID0_SID0_PID190_MGID6_CAT14-CAT228-CAT3131,Low-Low,CrostonClassic,49.34204825931458,-6.268597479029579,55.61064573834416,1.0,
CID0_SID0_PID193_MGID6_CAT18-CAT229-CAT3114,Low-Low,SimpleExponentialSmoothingOptimized,15.279162929739426,-0.1887166346811538,15.46787956442058,1.0,
CID0_SID0_PID194_MGID5_CAT118-CAT280-CAT3109,Low-Low,WindowAverage,30.571428571428573,-2.2857142857142856,32.85714285714286,1.0,
CID0_SID0_PID19_MGID6_CAT14-CAT228-CAT381,Low-Low,OptimizedTheta,34.4193010224814,0.1891462181826568,34.608447240664056,1.0,
CID0_SID0_PID201_MGID6_CAT18-CAT229-CAT3113,Low-Low,OptimizedTheta,32.541003875379324,0.4964945223322701,33.037498397711595,1.0,
CID0_SID0_PID207_MGID6_CAT14-CAT228-CAT3179,Low-Low,HoltWinters,30.02445657460643,-7.498327887385399,37.52278446199183,1.0,
CID0_SID0_PID214_MGID6_CAT18-CAT28-CAT39,Low-Low,OptimizedTheta,14.072852247485752,5.621404147953186,19.69425639543893,1.0,
CID0_SID0_PID215_MGID6_CAT14-CAT228-CAT3149,Low-Low,CrostonOptimized,62.40927697920618,0.2779182884138192,62.687195267620005,1.0,
CID0_SID0_PID21_MGID6_CAT14-CAT228-CAT381,Low-Low,CrostonSBA,25.97889516295552,1.8522661406885987,27.831161303644112,1.0,
CID0_SID0_PID223_MGID6_CAT120-CAT258-CAT3172,Low-Low,Theta,34.05936716481999,0.193423878962065,34.252791043782054,1.0,
CID0_SID0_PID23_MGID6_CAT14-CAT253-CAT358,Low-Low,HistoricAverage,56.49248120300752,-38.95864661654135,95.45112781954889,1.0,
CID0_SID0_PID253_MGID6_CAT110-CAT233-CAT383,Low-Low,HistoricAverage,15.661654135338347,4.112781954887216,19.774436090225564,1.0,
CID0_SID0_PID259_MGID6_CAT121-CAT264-CAT3123,Low-Low,Naive,24.285714285714285,10.0,34.285714285714285,1.0,
CID0_SID0_PID26_MGID6_CAT14-CAT253-CAT3156,Low-Low,SeasonalNaive,22.571428571428573,-5.0,27.571428571428573,1.0,
CID0_SID0_PID291_MGID5_CAT116-CAT227-CAT398,Low-Low,RandomWalkWithDrift,23.5952380952381,0.8428571428571493,24.438095238095247,1.0,
CID0_SID0_PID296_MGID5_CAT116-CAT225-CAT3103,Low-Low,CrostonClassic,33.357142857142854,3.6570394431168034,37.014182300259655,1.0,
CID0_SID0_PID300_MGID6_CAT120-CAT250-CAT324,Low-Low,SeasonalExponentialSmoothingOptimized,158.20233485149535,-22.34610408391797,180.5484389354133,1.0,
CID0_SID0_PID310_MGID5_CAT116-CAT225-CAT3105,Low-Low,HoltWinters,41.11604391360738,3.287712763836097,44.40375667744348,1.0,
