regime,best_model,proportion
High-High,HoltWinters,0.18181818181818182
High-High,WindowAverage,0.18181818181818182
High-High,lightgbm,0.18181818181818182
High-High,CrostonOptimized,0.09090909090909091
High-High,CrostonSBA,0.09090909090909091
High-High,HistoricAverage,0.09090909090909091
High-High,Holt,0.09090909090909091
High-High,SeasonalExponentialSmoothingOptimized,0.09090909090909091
Low-High,HistoricAverage,0.15
Low-High,Naive,0.125
Low-High,WindowAverage,0.1
Low-High,CrostonClassic,0.075
Low-High,Holt,0.075
Low-High,SeasonalExponentialSmoothingOptimized,0.075
Low-High,chronos2,0.075
Low-High,CrostonSBA,0.05
Low-High,HoltWinters,0.05
Low-High,RandomWalkWithDrift,0.05
Low-High,lightgbm,0.05
Low-High,DynamicOptimizedTheta,0.025
Low-High,OptimizedTheta,0.025
Low-High,SeasonalNaive,0.025
Low-High,SimpleExponentialSmoothingOptimized,0.025
Low-High,Theta,0.025
Low-Low,WindowAverage,0.14227642276422764
Low-Low,HoltWinters,0.10569105691056911
Low-Low,HistoricAverage,0.0975609756097561
Low-Low,Holt,0.08130081300813008
Low-Low,chronos2,0.08130081300813008
Low-Low,SeasonalExponentialSmoothingOptimized,0.06504065040650407
Low-Low,CrostonSBA,0.056910569105691054
Low-Low,Naive,0.056910569105691054
Low-Low,CrostonClassic,0.04878048780487805
Low-Low,RandomWalkWithDrift,0.04878048780487805
Low-Low,lightgbm,0.04878048780487805
Low-Low,OptimizedTheta,0.044715447154471545
Low-Low,SimpleExponentialSmoothingOptimized,0.04065040650406504
Low-Low,Theta,0.028455284552845527
Low-Low,DynamicOptimizedTheta,0.016260162601626018
Low-Low,SeasonalNaive,0.016260162601626018
Low-Low,DynamicTheta,0.012195121951219513
Low-Low,CrostonOptimized,0.008130081300813009
